review_id,actual_stars,v1_predicted_stars,v1_valid_json,v1_explanation,v1_raw_output,v2_predicted_stars,v2_valid_json,v2_explanation,v2_raw_output,v3_predicted_stars,v3_valid_json,v3_explanation,v3_raw_output
0,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,Friendly service,"{""predicted_stars"": 4, ""explanation"": ""Friendly service""}",4,True,Positive experience with minor concerns,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with minor concerns""}"
1,5,5,True,Reviewer highly recommends the dish.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer highly recommends the dish.""}",5,True,Excellent review,"{""predicted_stars"": 5, ""explanation"": ""Excellent review""}",5,True,Strongly positive review,"{""predicted_stars"": 5, ""explanation"": ""Strongly positive review""}"
2,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,Good food and service.,"{""predicted_stars"": 4, ""explanation"": ""Good food and service.""}",4,True,Positive experience with routine visits,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with routine visits""}"
3,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}",1,True,Extremely negative experience,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience""}",1,True,Extremely negative experience with unacceptable service,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with unacceptable service""}"
4,5,5,True,Reviewer loved the place and food.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loved the place and food.""}",5,True,Strongly recommended,"{""predicted_stars"": 5, ""explanation"": ""Strongly recommended""}",5,True,Strongly positive experience,"{""predicted_stars"": 5, ""explanation"": ""Strongly positive experience""}"
5,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,Minor complaints only,"{""predicted_stars"": 4, ""explanation"": ""Minor complaints only""}",5,True,Very positive experience with minor issues.,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with minor issues.""}"
6,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}",4,True,Good food quality,"{""predicted_stars"": 4, ""explanation"": ""Good food quality""}",4,True,Good food and happy hour with minor service issues.,"{""predicted_stars"": 4, ""explanation"": ""Good food and happy hour with minor service issues.""}"
7,4,5,True,Reviewer uses very positive language.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer uses very positive language.""}",5,True,Reviewer loves everything,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves everything""}",5,True,Very positive review,"{""predicted_stars"": 5, ""explanation"": ""Very positive review""}"
8,5,5,True,Reviewer loves the place and food.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the place and food.""}",5,True,Excellent experience overall.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience overall.""}",5,True,Very positive experience with great food,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with great food""}"
9,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}",1,True,Very poor service and food,"{""predicted_stars"": 1, ""explanation"": ""Very poor service and food""}",1,True,Very negative experience with poor food quality,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience with poor food quality""}"
10,4,5,True,Excellent service and good food.,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and good food.""}",5,True,Excellent service and food,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and food""}",5,True,Very positive experience with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with no complaints.""}"
11,5,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}",5,True,Excellent overall experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent overall experience""}",5,True,Very positive experience with great atmosphere,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with great atmosphere""}"
