review_id,actual_stars,predicted_stars,valid_json,explanation,raw_output
0,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
1,5,5,True,Reviewer highly recommends the dish.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer highly recommends the dish.""}"
2,3,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
3,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
4,5,5,True,Reviewer loved the place and food.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loved the place and food.""}"
5,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
6,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
7,4,5,True,Reviewer uses very positive language.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer uses very positive language.""}"
8,5,5,True,Reviewer loves the place and food.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the place and food.""}"
9,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
10,4,5,True,Excellent service and good food.,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and good food.""}"
11,5,5,True,Extremely positive review,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
12,3,5,True,Reviewer is extremely enthusiastic,"{""predicted_stars"": 5, ""explanation"": ""Reviewer is extremely enthusiastic""}"
13,4,4,True,Mostly positive with minor issues,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
14,5,5,True,Excellent service and support.,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and support.""}"
15,2,3,True,Mixed review with average food,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with average food""}"
16,4,2,True,Reviewer had negative experience,"{""predicted_stars"": 2, ""explanation"": ""Reviewer had negative experience""}"
17,4,5,True,Reviewer had a great experience,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had a great experience""}"
18,5,5,True,Reviewer uses very positive language.,"{""predicted_stars"": 5, ""explanation"": ""Reviewer uses very positive language.""}"
