repeat,review_id,actual_stars,predicted_stars,valid_json,raw_output
0,0,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience""}"
0,1,1,1,True,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience""}"
0,2,1,1,True,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with multiple issues""}"
0,3,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with great atmosphere""}"
0,4,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with Apple products""}"
0,5,3,4,True,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with consistent food quality""}"
0,6,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Strongly positive experience""}"
0,7,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with nice staff""}"
0,8,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food""}"
0,9,3,3,True,"{""predicted_stars"": 3, ""explanation"": ""Neutral review with mixed expectations""}"
0,10,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with no complaints.""}"
0,11,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Great experience with minor pool issue""}"
0,12,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Great food with minor atmosphere issues""}"
0,13,2,2,True,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience with multiple issues""}"
0,14,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience""}"
0,15,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great acting""}"
0,16,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food""}"
0,17,2,2,True,"{""predicted_stars"": 2, ""explanation"": ""Tasty but overpriced""}"
0,18,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Good food and prices with minor issues""}"
0,19,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with no complaints.""}"
1,0,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience""}"
1,1,1,1,True,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience""}"
1,2,1,1,True,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with multiple issues""}"
1,3,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with great atmosphere""}"
1,4,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with Apple products""}"
1,5,3,4,True,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with routine visits""}"
1,6,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience""}"
1,7,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with nice staff""}"
1,8,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great food""}"
1,9,3,3,True,"{""predicted_stars"": 3, ""explanation"": ""Neutral review with mixed expectations""}"
1,10,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with no complaints.""}"
1,11,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Great experience with minor pool issue""}"
1,12,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Great food with minor atmosphere issues""}"
1,13,2,2,True,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative experience with multiple issues""}"
1,14,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive experience""}"
1,15,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with great performance""}"
